"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1290.128.92","1","1","1","0","1","0","0","20200622","20200626"
"1290.128.96","0","0","0","1","1","0","0","20200622","20200626"
"1644.100.104","0","1","0","1","1","0","0","20200627","20200707"
"1644.100.108","1","1","0","1","1","0","0","20200627","20200707"
"1644.100.112","0","0","1","1","1","0","0","20200627","20200707"
"1644.100.12","1","1","0","0","0","0","0","20200627","20200707"
"1644.100.120","0","1","1","1","1","0","0","20200627","20200707"
"1644.100.124","1","1","1","1","1","0","0","20200627","20200707"
"1644.100.128","0","0","0","0","0","1","0","20200627","20200707"
"1644.100.130","0","0","0","0","0","1","1","20200627","20200707"
"1644.100.16","0","0","1","0","0","0","0","20200627","20200707"
"1644.100.2","0","0","0","0","0","0","1","20200627","20200707"
"1644.100.32","0","0","0","1","0","0","0","20200627","20200707"
"1644.100.36","1","0","0","1","0","0","0","20200627","20200707"
"1644.100.4","1","0","0","0","0","0","0","20200627","20200707"
"1644.100.40","0","1","0","1","0","0","0","20200627","20200707"
"1644.100.44","1","1","0","1","0","0","0","20200627","20200707"
"1644.100.48","0","0","1","1","0","0","0","20200627","20200707"
"1644.100.52","1","0","1","1","0","0","0","20200627","20200707"
"1644.100.56","0","1","1","1","0","0","0","20200627","20200707"
"1644.100.60","1","1","1","1","0","0","0","20200627","20200707"
"1644.100.64","0","0","0","0","1","0","0","20200627","20200707"
"1644.100.72","0","1","0","0","1","0","0","20200627","20200707"
"1644.100.8","0","1","0","0","0","0","0","20200627","20200707"
"1644.100.88","0","1","1","0","1","0","0","20200627","20200707"
"1644.100.92","1","1","1","0","1","0","0","20200627","20200707"
